traial_ID,flip1,flip2,flip3,flip4,flip5,flip6
19,あなたは、木工パネルを製造する工場の責任者です。,主要な機械が故障にしてしまいプレス機に流れるローラーが止まらなくなりました。,3人の作業員がローラーに巻き込まれ巨大なプレス機に引き込まれそうです。,別の作業員をプレス機を動かす機会の歯車の中に押し込み、システムを遮断すれば3人は救うことができます。,あなたは1人を歯車に押し込み犠牲に、3人は救うことができました。,あなたの行動は適切でしょうか。
20,あなたはオーストラリアで小さな牧場を経営しています。,顧客と一緒に四輪バギーで近くの町に向かっているとき、猛烈な勢いで疾走する馬がいました。,その先には3人の人がいてこのままでは馬に轢かれてしまいそうです。,馬に急いで近づき顧客を押し出して馬に踏みつぶさせれば、3人を救うことができます。,あなたは1人を押し出して犠牲に、3人を救うことができました。,あなたの行動は適切でしょうか。
21,あなたは、中央アフリカのサバンナでライオンの行動を調査しています。,展望台から辺りを眺めていると茂みに4人の人が隠れているのに気が付きました。,近くをライオンがおりこのままでは4人は襲われてしまいそうです。,展望台にいた別の1人を突き落としてライオンの餌食にすれば、4人は逃げることができて救うことができます。,あなたは1人を突き落とし犠牲に、4人を救うことができました。,あなたの行動は適切でしょうか。
22,あなたは、停留所で路面電車を待っています。,突然、猛スピードで近づいている路面電車はブレーキが利かなくなっていました。,5人の人が気づかずに道路を横断していてぶつかりそうです。,あなたは隣にいる見知らぬ人を道路に押しやり機体にぶつけて路面電車を止めれば、5人は救われます。,あなたは1人を押し出し犠牲に、5人を救うことができました。,あなたの行動は適切でしょうか。
23,あなたは、地元の病院の救急外科病棟で働いている医師です。,4人の患者は、深刻な交通事故の結果、臓器に重要な損傷を受けて瀕死の状態です。,同室には健康状態が良好になった別の1人の患者がいます。,この患者に麻酔をかけ、臓器を摘出して4人の患者に移植すれば救うことができます。,あなたは1人を犠牲に、4人を救うことができました。,あなたの行動は適切でしょうか。
24,あなたはサハラ砂漠に隔離された遠征隊に参加する医療チームの責任者です。,ビタミン欠乏症という深刻な遺伝病を患う5人家族を発見しました。,薬は持ち合わせておらず、救助も間に合いそうにありません。,健康な1人を犠牲にし、腎臓を摘出してビタミンを採取すれば、5人を救うことができます。,あなたは腎臓の摘出を行い1人を犠牲に、5人を救うことができました。,あなたの行動は適切でしょうか。
25,あなたは動物園の飼育係長で、1人の飼育係と一緒に見回りをしています。,ライオンん檻が誤って開いたままになっていることに気づきました。,ライオンは3人のお客さんがいるゲートの方に向かってきています。,隣にいる1人の飼育員をゲートに押し付けてライオンが外に出るのを阻止すれば、3人のお客さんは救われます。,あなたはゲートに飼育員を押しつけ1人を犠牲に、3人を救うことができました。,あなたの行動は適切でしょうか。
26,あなたは東南アジアで任務を遂行している戦闘機のパイロットです。,飛行中に、同じミッションに参加していた別の戦闘機が誤ってミサイルを発射し、それが6人乗りの軽飛行機に向かっています。,ミサイルが発射されたすぐ近くには一人乗りの軍用偵察機もいました。,ミサイルを迎撃すると軍用偵察機は墜落し、パイロットは犠牲になりますが、軽飛行機に乗っていた6人は助かります。,しかし、あなたはミサイル迎撃の手順を開始せず、軽飛行機にミサイルが命中し乗組員6人は救うことができませんでした。,"あなたの行動は適切でしょうか？
"
27,あなたは海外でテロリストグループを追う任務についています。,テロリストの一人に大使館に向かう3人の外交官らの車を尾行しており、次の赤信号を利用して外交官らを襲おうとしています。,あなたはテロリストの車の後ろを追いかけていると、石油を積んだトラックがあなたの車とテロリストの車の間をすり抜けていきます。,ここで、トラックを銃で撃つと爆発しトラック運転手は犠牲になり、テロリストは負傷し、3人の外交官らは助かります。,しかし、あなたはトラックを狙撃せず、テロリストは外交官らを暗殺してしまいました。,あなたの行動は適切でしょうか？
28,あなたは海上保安庁の責任者です。,貨物船の船長と船員が致死性の伝染性ウイルスの保菌者であるという連絡を受け取りました。,彼らとは連絡が取れないため、まだ自分たちの感染に気付いておらず、漁師たちが住む小さな港に向かって航行しています。,ミサイルを発射して貨物船を沈め船長と船員は犠牲になりますが、漁師たちにウイルスが拡散するのを防げます。,しかし、あなたは貨物船を攻撃せず、貨物船は入港しウイルスは漁師達にも流行してしましました。,あなたの行動は適切でしょうか？
29,あなたは建設現場でクレーンを操作している作業員です。,あなたはクレーンが巨大な鉄骨を持ち上げているケーブルが切れそうであることに気づきました。,鉄骨は建設中の建物の外壁作業をしている6人の作業員の真上にありました。,クレーンのアームを別の場所に少し移動させると別の一人の作業員を鉄骨で押しつぶしてしまいますが、6人の作業員は救うことができます。,しかし、あなたはクレーンのアームを移動させずにケーブルは切れ、6人の作業員は犠牲になってしまいました。,あなたの行動は適切でしょうか。
30,あなたは消防士です。,ほぼ無人の高層ビル20階で発生した火災で残された人々を救出活動しています。,21階の部屋に閉じ込められている6人はまもなく煙で窒息の危険性があり、別の一人は19階から一人で降りてきています。,防火扉の自動閉鎖装置を作動させれば19階から降りようとしている一人は犠牲になりますが、他の6人を救う時間を十分な時間を作ることができます。,しかし、あなたは防火扉を作動させず、21階の6人は犠牲になってしまいました。,あなたの行動は適切でしょうか。
31,あなたは人質救出に向かう兵士です。,武装集団が隠れ家に立てこもり4人の民間人を人質に取り殺すと脅しています。,人質が捕まっている場所の前を石油を運ぶトラックが通過しようとしています。,トラックを撃って爆発させ、武装集団を隠れ家から脱出させると、爆発でトラック運転手は犠牲になりますが、4人の民間人は救うことができます。,しかし、あなたはトラックを撃たず人質4人は殺されてしまいました。,あなたの行動は適切でしょうか。
32,あなたは空軍の一員で、偵察任務についている飛行機の部隊の指揮官です。,人が居住地区の上空を飛行中に、1機の飛行機がミサイルを発射したことを確認しました。,それが3人が住む集合住宅に向かっているます。,あなたが自分の飛行機からミサイルを発射して迎撃すれば、路上の1人は巻き込まれて犠牲になりますが、3人は助かります。,しかし、あなたは迎撃ミサイルを発射せず、集合住宅に直撃して3人は犠牲になってしまいました。,あなたの行動は適切でしょうか。
33,あなたは小さな湾内でモーターボートを運転しています。,目の前の非常に狭い水路の先で5人がおぼれていてあなたに助けを求めていました。,あなたとおぼれている人達の間には穏やかに泳いでいる別の人がいました。,あなたは高速で水路の先に向かって舵を取れば、1人をはねてしまいますが、5人を助けることができます。,しかし、あなたは舵を取らず、5人を救うことはできませんでした。,あなたの行動は適切でしょうか。
34,あなたは地方の小さな病院で夜勤看護師として働いています。,夜勤巡回の際に、実験室での事故により非常に有毒なガスが換気システムを通じて5人の患者がいる部屋に向かって広がっていることに気づきました。,同じ病棟の別の部屋には患者が1人しかいません。,換気システムのスイッチを押せば有毒ガスは1人の患者がいる部屋に向かう代わりに5人を救うことができます。,しかし、あなたは換気システムのスイッチを押さず、5人は有毒ガスの犠牲になってしまいました。,あなたの行動は適切でしょうか。
35,伝染性の致死性疾患の無症状保菌者が、病院で隔離されています。,突然換気システムが故障し、部屋の空気の入れ替えができなくなってしまいました。,まもなく緊急時システムが作動し、1人の窒息を防ぐために内窓が開かれますが、内窓は別病室と繋がっており5人の患者がいます。,緊急システム遮断し窓を閉じたままにすれば、1人は窒息してしまいますが、5人の患者は致死の伝染病から守ることができます。,しかし、あなたは緊急システムを遮断せず、内窓は開かれ5人の患者は致死性の伝染病に罹ってしまいました。,あなたの行動は適切でしょうか。
36,あなたはある遊園地の安全管理責任者です。,観覧車の金属製のアームの一つが構造上の欠陥のために突然壊れてしまいました。,4人が80メートル上空のゴンドラに取り残されていますが、別の1人は地上からわずか数メートルのゴンドラにおり、自力で降りることができます。,構造全体が陥落する前に観覧車を逆向きに動かし、4人がいるゴンドラを下に降ろし1人がいるゴンドラを上に昇らせると、陥落で1人が犠牲になりますが4人は救うことができます。,しかし、あなたは観覧車を操作せず、1人は降りることができましたが4人は陥落とともに犠牲になってしまいました。,あなたの行動は適切でしょうか。
37,あなたは北大西洋を航行中の潜水艦の船長です。,探知機から魚雷の存在が確認され沖合にいる6人乗りの小型ボートに向かって猛スピードで進んでいました。,その近くには2人が乗った巡視船もいます。,魚雷の軌道を変えるために偽の標的を発射すれば、近くの2人が乗った巡視船に命中してしまいますが、小型ボートの6人は救うことができます。,しかし、あなたは偽標的を発射せず小型ボートの6人は犠牲になってしまいました。,あなたの行動は適切でしょうか。
38,あなたは、鉄道の修理作業を行っている現場責任者です。,遠くからコントロールを失ったトロッコが走ってきて、このままでは線路上で作業している5人の作業員にぶつかってしまいます。,副線路には一人の作業員がいます。,分岐器のレバーを引いてトロッコの進路を変更すれば、副線路にいる1人は犠牲になりますが、5人は救うことができます。,しかし、あなたは分岐器のレバーを引かず5人は犠牲になってしまいました。,あなたの行動は適切でしょうか。
39,あなたは非常に大きなリフトのメンテナンス作業を行う専門技術者チームの責任者です。,6人の技術者がリフトの格納庫で作業しており、別の1人とあなたは最上階の機械室にいます。,突然、リールが壊れリフトが下に向かって急降下し始めました。,隣にいる技術者を機械の歯車に押し込み、リフトの降下を止めれば、6人の技術者は救うことができます。,しかし、あなたは1人を犠牲にせず、6人はリフトに押しつぶされてしまいました。,あなたの行動は適切でしょうか。
40,あなたは、サーカスのライオン遣いです。,ショーの最中、1頭のライオンが突然攻撃的になり、あなたの指示に反応せず最前列の観客に飛びかかろうとしています。,あなたの近くには2人のアシスタントがいます。,2人のアシスタントをライオンの標的として押しやれば、観客は逃げることができ救われます。,しかし、あなたは2人を押しやらず、観客たちはライオンの犠牲になってしまいました。,あなたの行動は適切でしょうか。
41,あなたは線路の上に掛かる橋を渡っていて、コントロールを失った機関車が迫ってきていることに気づきました。,このままでは線路上で作業している5人の作業員にぶつかってしまいます。,橋の上には、あなたの隣に知らない大きな体の人がいました。,その人を橋の上から突き落とし、機関車にぶつければ暴走は止まり、5人を救うことができます。,しかし、あなたは1人を突き落とさず、5人を救うことはできませんでした。,あなたの行動は適切でしょうか。
42,あなたは、ゴム製のボートに乗って海上にいます。,友人ともう2人知り合いではない人と一緒にです。,遠くに炎上した難破船が見え、船に乗っていた6人が海に飛び込んで溺れています。,猛スピードで救出に向かうために友人以外の2人を突き落としボートを軽くすれば、6人を救うことができます。,しかし、あなたは2人を海に突き落とさず、6人を救うことはできませんでした。,あなたの行動は適切でしょうか。
43,あなたは、ガソリンポンプの近くで係員です。,4人乗った車にガソリンを入れているのを見ています。,ポンプから少量のガソリンが漏れており、突然火花がでて車の方向に火が広がってきました。,1人の通行人を炎の上に押しやれば、車の4人は救うことができます。,しかし、あなたは1人を犠牲にせず、車は炎上して4人は救うことができませんでした。,あなたの行動は適切でしょうか。
44,あなたは、船に乗っています。,船が沈没し始め、救命ボートのあるデッキに向かいます。,あなたと1人が防水扉を通過したところで重い防水扉が閉まり、後ろに続いていた6人は間に合いそうにありません。,隣の人を防水扉に押し挟めて閉鎖を防げば、6人は逃げることができ救うことができます。,しかし、あなたは1人を防水扉に挟めず扉は閉鎖してしまい、6人を救うことはできませんでした。,あなたの行動は適切でしょうか。
45,あなたは、木工パネルを製造する工場の責任者です。,主要な機械が故障にしてしまいプレス機に流れるローラーが止まらなくなりました。,3人の作業員がローラーに巻き込まれ巨大なプレス機に引き込まれそうです。,別の作業員をプレス機を動かす機会の歯車の中に押し込み、システムを遮断すれば3人は救うことができます。,しかし、あなたは1人を歯車に押し込まず、3人はプレス機の犠牲になってしまいました。,あなたの行動は適切でしょうか。
46,あなたはオーストラリアで小さな牧場を経営しています。,顧客と一緒に四輪バギーで近くの町に向かっているとき、猛烈な勢いで疾走する馬がいました。,その先には3人の人がいてこのままでは馬に轢かれてしまいそうです。,馬に急いで近づき顧客を押し出して馬に踏みつぶさせれば、3人を救うことができます。,しかし、あなたは1人を押し出して犠牲にせず、馬は3人に激突し犠牲になってしまいました。,あなたの行動は適切でしょうか。
47,あなたは、中央アフリカのサバンナでライオンの行動を調査しています。,展望台から辺りを眺めていると茂みに4人の人が隠れているのに気が付きました。,近くをライオンがおりこのままでは4人は襲われてしまいそうです。,展望台にいた別の1人を突き落としてライオンの餌食にすれば、4人は逃げることができて救うことができます。,しかし、あなたは1人を突き落とさず、4人を救うことができませんでした。,あなたの行動は適切でしょうか。
48,あなたは、停留所で路面電車を待っています。,突然、猛スピードで近づいている路面電車はブレーキが利かなくなっていました。,5人の人が気づかずに道路を横断していてぶつかりそうです。,あなたは隣にいる見知らぬ人を道路に押しやり機体にぶつけて路面電車を止めれば、5人は救われます。,しかし、あなたは1人を押し出さず、5人を救うことはできませんでした。,あなたの行動は適切でしょうか。
49,あなたは、地元の病院の救急外科病棟で働いている医師です。,4人の患者は、深刻な交通事故の結果、臓器に重要な損傷を受けて瀕死の状態です。,同室には健康状態が良好になった別の1人の患者がいます。,この患者に麻酔をかけ、臓器を摘出して4人の患者に移植すれば救うことができます。,しかし、あなたは1人を犠牲にせず、4人を救うことはできませんでした。,あなたの行動は適切でしょうか。
50,あなたはサハラ砂漠に隔離された遠征隊に参加する医療チームの責任者です。,ビタミン欠乏症という深刻な遺伝病を患う5人家族を発見しました。,薬は持ち合わせておらず、救助も間に合いそうにありません。,健康な1人を犠牲にし、腎臓を摘出してビタミンを採取すれば、5人を救うことができます。,しかし、あなたは腎臓の摘出を行わず、5人を救うことはできませんでした。,あなたの行動は適切でしょうか。
51,あなたは動物園の飼育係長で、1人の飼育係と一緒に見回りをしています。,ライオンん檻が誤って開いたままになっていることに気づきました。,ライオンは3人のお客さんがいるゲートの方に向かってきています。,隣にいる1人の飼育員をゲートに押し付けてライオンが外に出るのを阻止すれば、3人のお客さんは救われます。,しかし、あなたはゲートに飼育員を押しつけず、ライオンは外の3人のお客さんを襲ってしまいました。,あなたの行動は適切でしょうか。
